Month,Core capital,Total assets,Non-performing loans,Gross Loan Portifolio/Total loans,Non-earning assets,General loan loss reserve,Gross loans,Write-offs,Recoveries
2016-09-30,-106388455.17,1882796216.14,35212399.8,288546660,288546660,67653.05,169084.51,7745.58,164399.41
2016-10-31,95664149.02,1850563690.09,27413565.98,182216104.35,182216104.35,47230.58,128375.58,13859.53,118133.91
2016-11-30,-18040664.52,2540167177.17,34206242.74,279289518.43,279289518.43,5599.55,460889.32,10712.02,213777.04
2016-12-31,-77585710.8,1976314659.6,33887115.08,276452101.43,276452101.43,91649.92,516366.73,6400.57,149882.21
2017-01-31,143598898.59,1489818561.87,28126505.36,205540472.05,205540472.05,43460.34,204494.09,23836.33,115609.48
2017-02-28,26668373.04,2257421769.89,30044760.81,287643891.41,287643891.41,14779.67,206841.89,23322.68,356371.68
2017-03-31,58637377.02,1431634422.45,30454933.05,283434077.63,283434077.63,7459.41,98088.4,8556.95,309353.63
2017-04-30,70886857.19,1422991230.69,34534820.16,191670621.8,191670621.8,4430.88,521939.61,357.4,335074.03
2017-05-31,70521278.73,2533985568.6,33676204.88,165401528.42,165401528.42,11890.66,107041.51,21204.97,35770.7
2017-06-30,145963719.09,1797065670.54,31987712.02,260466271.39,260466271.39,82095.35,122320.02,3648.1,317686.61
2017-07-31,52250930.71,2527509521.52,31967508.81,262551654.96,262551654.96,37615.62,358779.46,5765.95,322240.98
2017-08-31,95448398.11,2098667802.26,37998653.55,266201246.23,266201246.23,41953.39,148292.39,18479.51,337566.89
2017-09-30,24963731.15,2086904374.76,36273861.63,303765970.05,303765970.05,23361.32,431043.55,8335.87,347949.51
2017-10-31,-108836228.92,2226024049.35,36359316.45,300761874.62,300761874.62,52414.36,537831.88,23000.82,249208.62
2017-11-30,65319060.8,2534308894.92,26823166.41,268125419.09,268125419.09,63610.6,154511.14,3750.74,345717.6
2017-12-31,-101680657.73,2496475204.75,30270978.48,250702586.84,250702586.84,15126.2,178562.28,3883.47,283007.22
2018-01-31,-29142027.51,1640494815.26,33898434.78,275808061.14,275808061.14,29021.39,523977.94,22846.14,153562.9
2018-02-28,-14852231.8,1881543022.66,31630348.91,271606405.46,271606405.46,39376.91,44556.19,10009.95,273612.68
2018-03-31,7276453.13,1939477274.63,27714700.42,214939005.89,214939005.89,81517.33,98197.96,6759.42,258374.44
2018-04-30,109491946.82,1473328875.97,35619056.22,239034802.69,239034802.69,5270.1,401669,24959.57,107997.59
2018-05-31,-61033855.36,1410756856.41,34153900.62,282525020.78,282525020.78,36579.7,179288.99,24397.27,155873.78
2018-06-30,136569960.37,1524976354.89,35590561.87,317666281.82,317666281.82,36064.55,462620.64,10021.9,69331.52
2018-07-31,30408970.92,1963382126.26,36081314.44,271384510.52,271384510.52,26733.49,418856.07,17478.61,26586.07
2018-08-31,61318408.62,2263385592.55,31523753.42,278186961.7,278186961.7,75575.84,452327.28,15966.27,277872.56
2018-09-30,-17449196.15,2518622323.15,28895026.15,246498269.12,246498269.12,30700.12,67312.24,11644.41,93603.31
2018-10-31,-17818143.38,1407022659.72,35412677.06,250698584.76,250698584.76,22809.06,124554.95,14992.68,178533.86
2018-11-30,99168985.3,2631225057.36,30021993.02,295721283.05,295721283.05,47381.35,248855.25,1910.32,84754.87
2018-12-31,-20415681.43,1875665369.48,37581000.96,191827938.44,191827938.44,46626.63,534103.34,5406.96,124834.64
2019-01-31,89908755.6,2626809722.28,27739240.55,245901308.18,245901308.18,42314.86,313265.69,21938.8,302266.83
2019-02-28,60239027.03,2185866081.84,26245411.54,251700766.13,251700766.13,99226.67,39789.91,4625.37,164330.43
2019-03-31,-70022425.47,1609956126.4,30030089.69,215735264.15,215735264.15,47623.65,436209.22,11972.42,48280.86
2019-04-30,8907981.57,1785740400.74,31479327.54,203128281.41,203128281.41,42570.58,356624.67,9499.64,389247.58
2019-05-31,-112922772.38,2470525519.93,27668514.51,196829640.73,196829640.73,10489.56,90543.17,8231.58,123538.3
2019-06-30,89619282.98,1624073758.01,34384614.5,301925963.36,301925963.36,48775.55,11951.22,14353.85,318850.7
2019-07-31,-83087624.65,1902572185.13,26016734.52,240464133.91,240464133.91,32525.14,508624.69,3607.47,251453.74
2019-08-31,138922617.82,1450306081.33,33160643.06,227672741.71,227672741.71,90118.73,15212,1373.67,159490.18
2019-09-30,-26812310.05,2221864793.91,26461105.44,183613655.2,183613655.2,79574.45,352559.21,13745.15,250640.77
2019-10-31,-19614343.02,1637443097.99,28418907.17,192401870.64,192401870.64,97047.21,508174.72,24301.28,151751.41
2019-11-30,26499583.9,2440384115.48,27238116.75,210453947.72,210453947.72,76527.86,39348.62,16225.94,320878.24
2019-12-31,-108529631.68,1636265835.15,35031907.95,273386871.36,273386871.36,97602.88,534717.86,19488.15,378925.73
2020-01-31,98110298.32,1492883760.14,37173142.4,180810357.51,180810357.51,37774.8,400745.34,19451.28,137849.59
2020-02-29,26157933.25,2553535774.32,36159337.91,185311546.37,185311546.37,30231,333077.02,20832.75,136347.5
2020-03-31,141071101.99,1656498887.43,28369324.89,296295330.37,296295330.37,27366.24,452549.05,10830.85,40366.04
2020-04-30,-81187878.21,2570458445.54,35563668.3,218523250.18,218523250.18,10313.56,38972.09,17947.05,63962.3
2020-05-31,108757800.07,1558150741.78,34444432.56,264477962.14,264477962.14,17175.44,311532.32,24806.61,15911.93
2020-06-30,142623598.22,2379849012.56,36760747.06,205110843.13,205110843.13,15834.22,10934.63,11602.34,48180.1
2020-07-31,137691131.44,2068891883.07,37288157.62,316279660.59,316279660.59,17438.52,59759.15,2335.11,91038.15
2020-08-31,60941342.23,2417611473.24,33809483.39,202409081.48,202409081.48,57357.34,230554.78,1971.41,206724.24
2020-09-30,-44688645.47,1852981062.69,31015015.93,306329511.21,306329511.21,39545.5,518461.37,7791.26,371001.64
2020-10-31,-79180024.35,1402115696.43,34978355.67,305858013.27,305858013.27,43482.57,47802.04,22700.14,221723.01
2020-11-30,-55436014.88,1684169504.15,27124886.83,172130951.44,172130951.44,65269.76,260287.94,12667.99,34911.89
2020-12-31,-57518378.63,2455342187.51,28739790.09,190573914.73,190573914.73,49696.4,205906.38,12381.14,20556.84
2021-01-31,146422177.12,1737592923.41,30546662.02,288553363.33,288553363.33,78646.49,13438.85,24348.77,30510.34
2021-02-28,4265213.65,1591901817.54,37364203.77,265388765.45,265388765.45,97503.84,268450.88,5150.02,258261.43
2021-03-31,132421224.04,1835650457.62,29694709.98,220621417.48,220621417.48,9739.62,455395.8,11703.42,47462.24
2021-04-30,-26451144.53,2166712974.07,37312365.32,290524732.23,290524732.23,88334.51,472501.02,24279.13,55879.51
2021-05-31,-56827670.5,2570875070.23,32251796.83,165563243.44,165563243.44,29253.2,425969.51,23134.25,61010.56
2021-06-30,114842264.66,2397793915.69,27482953.5,200097813.96,200097813.96,19726.28,23521.45,1610.02,3198.52
2021-07-31,18918933.66,2257737566.54,36165866.4,317899195.29,317899195.29,96640.51,127134.52,16076.79,62640.9
2021-08-31,86514751.84,2109418628.3,27166585.49,290696395.68,290696395.68,40830.29,266199.06,6146.94,110674.15
2021-09-30,-65613369.12,1919843498.44,35350446.19,198791561.42,198791561.42,38310.75,406767.43,1527.62,214742.11
2021-10-31,122687922.89,1438454640.12,36307755.9,266838343.98,266838343.98,38245.12,209094.26,15869.6,171274.92
2021-11-30,88143048.89,1833545240.73,29322601.87,317489294.08,317489294.08,36200.09,412331.01,10003.94,279777.99
2021-12-31,73131365.12,2416187048.34,29452861.64,169899787.25,169899787.25,99076.7,349096.86,11075.36,52120.64
2022-01-31,106566348.45,2157179197.63,37555213.71,234729869.91,234729869.91,82730.1,278346.98,9627.34,399582.49
2022-02-28,-111770357.57,1416397721.53,26169225.33,279660937.45,279660937.45,96860.46,316241.65,3079.22,83501.63
2022-03-31,-73723308.41,1939761712.49,33258696.06,272191367.99,272191367.99,66610.86,235736.42,11267.05,205844.8
2022-04-30,-105609015.92,2383928369.13,34072857.11,209556299.98,209556299.98,13139.75,162304.2,3413.87,328675.51
